price,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,sold_year,sold_month
3800000,Cheltenham,2,4,2,1258,House,2243,48152,1.654,-33.75721,151.0782,110,0.1,183.1,17.09,2021.0,2.0
2500000,Hardys Bay,2,3,6,631,House,227,35828,0.606,-33.52699,151.35541,44,0.1,220.1,39.86,2021.0,10.0
1675000,Shelly Beach,3,4,3,575,House,1318,33696,1.162,-33.36992,151.48476,27,0.1,220.1,60.56,2021.0,9.0
3265000,Turramurra,3,5,2,910,House,11919,49920,6.001,-33.73444,151.12793,183,0.1,220.1,16.36,2021.0,11.0
1250000,Redfern,2,2,1,94,Apartment / Unit / Flat,13213,51532,1.172,-33.89313,151.20653,40,0.1,220.1,3.12,2021.0,12.0
1420000,Dundas,2,4,2,715,House,4740,32188,1.347,-33.80329,151.04263,30,1.5,169.8,16.94,2018.0,4.0
1320000,Toongabbie,2,4,2,557,House,14337,34996,4.733,-33.79196,150.9468,39,0.1,220.1,25.67,2021.0,12.0
680000,Mount Annan,2,4,1,619,House,11703,43680,10.226,-34.06403,150.76318,115,1.52,159.3,46.81,2016.0,8.0
2638000,Eastwood,5,6,2,986,House,17865,30368,5.194,-33.78849,151.08514,75,0.1,220.1,14.34,2021.0,12.0
1185000,Pemulwuy,2,4,1,275,House,5009,52832,3.777,-33.82108,150.92398,57,0.1,220.1,26.91,2021.0,11.0
2800000,Bateau Bay,2,4,3,651,House,12146,30316,6.938,-33.38486,151.47128,31,0.1,197.9,58.53,2021.0,10.0
810000,Green Point,2,3,2,468,House,6405,31824,8.455,-33.45321,151.38285,46,0.75,169.6,48.42,2020.0,10.0
775000,Wattle Grove,2,3,2,410,House,8952,44096,2.591,-33.95266,150.93951,15,1.5,160.5,26.82,2018.0,9.0
560000,Berkeley Vale,2,3,1,689,House,8355,33852,6.142,-33.34073,151.42855,10,1.75,159.3,61.6,2016.0,7.0
1780000,Hurstville,1,3,1,531,House,29822,25116,4.226,-33.96268,151.1006,64,0.1,220.1,14.81,2021.0,11.0
9383500,Rose Bay,3,4,5,601,House,10053,60008,2.555,-33.87416,151.26568,14,0.1,220.1,5.26,2021.0,10.0
1350000,Leonay,1,3,2,663,House,2518,46852,2.47,-33.76836,150.64974,42,0.1,220.1,52.96,2021.0,9.0
5125000,Cabarita,3,4,2,353,House,1957,52988,0.499,-33.84744,151.11635,10,0.1,197.9,8.88,2021.0,5.0
1810000,West Ryde,2,4,2,638,House,13394,38584,3.566,-33.8063,151.08417,35,1.5,172.7,13.34,2017.0,2.0
1160000,Warriewood,3,4,2,374,New land,7501,45552,4.195,-33.68907,151.29762,8,0.75,166.4,21.15,2019.0,11.0
